GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Tuples,de.turnertech.tuples,Tuple.TupleIterator,0,46,0,4,0,8,0,5,0,3
Tuples,de.turnertech.tuples,Tuple,31,332,3,41,9,63,6,42,3,23
Tuples,de.turnertech.tuples,Tuple0,0,5,0,0,0,2,0,1,0,1
Tuples,de.turnertech.tuples,Tuple3,9,29,0,0,3,5,3,1,3,1
Tuples,de.turnertech.tuples,Tuple1,0,16,0,0,0,4,0,2,0,2
Tuples,de.turnertech.tuples,Tuple2,6,21,0,0,2,4,2,1,2,1
